"","rownames.filtered.","expres"
"RN7SL503P","RN7SL503P",5.93419576576577
"PRDX1","PRDX1",4.83249693693694
"RNU6-1281P","RNU6-1281P",4.82519657657658
"NRDC","NRDC",4.31689504504504
"JAK1","JAK1",4.48686162162162
"GNG12","GNG12",4.27936315315315
"RNA5SP22","RNA5SP22",5.09871423423423
"WDR82P2","WDR82P2",8.3609427027027
"RPL7P23","RPL7P23",4.28623468468468
"RPSAP15","RPSAP15",5.46376684684685
"OLFM3","OLFM3",5.68748063063063
"MTATP6P14","MTATP6P14",6.71666945945946
"CDC42SE1","CDC42SE1",3.85913567567568
"RNU6-106P","RNU6-106P",4.47563990990991
"CD1B","CD1B",5.55270045045045
"GLUL","GLUL",5.10712108108108
"TEDDM1","TEDDM1",5.59641081081081
"EDEM3","EDEM3",4.07920369369369
"IVNS1ABP","IVNS1ABP",4.92071765765766
"SNORA70","SNORA70",5.99124900900901
"RN7SKP98","RN7SKP98",5.80855054054054
"VIM","VIM",4.69509765765766
"RAB18","RAB18",4.21371576576577
"NCOA4","NCOA4",4.4229745045045
"RNU6-543P","RNU6-543P",4.33859153153153
"DDX50","DDX50",3.93446063063063
"H2AZP5","H2AZP5",5.35079081081081
"SNORA71","SNORA71",5.96554567567568
"SLK","SLK",4.58257279279279
"PDCD4","PDCD4",4.46169630630631
"PNLIP","PNLIP",4.88010405405405
"ENO4","ENO4",6.39348540540541
"YME1L1","YME1L1",4.96584504504504
"KIF5B","KIF5B",5.28375396396396
"RPL7AP53","RPL7AP53",6.09685486486486
"NAMPTP1","NAMPTP1",5.0872354954955
"RN7SL248P","RN7SL248P",4.97359
"MMP7","MMP7",5.35016666666667
"RPL23AP64","RPL23AP64",6.76118540540541
"BSX","BSX",7.9054427027027
"HSPA8","HSPA8",7.26105468468468
"GAPDH","GAPDH",6.69823027027027
"C1S","C1S",5.38450846846847
"PTMAP9","PTMAP9",5.33893855855856
"EMP1","EMP1",4.61626162162162
"PDE3A","PDE3A",9.25080657657658
"RNA5SP361","RNA5SP361",4.73096603603604
"DIP2B","DIP2B",3.81290162162162
"RNU6-199P","RNU6-199P",4.94030828828829
"MDM2","MDM2",3.8881218018018
"RNU7-4P","RNU7-4P",4.36828567567568
"HSP90B1","HSP90B1",6.67241036036036
"RPL18A","RPL18A",6.71812216216216
"ATP2A2","ATP2A2",5.42100657657658
"CD163","CD163",3.94956612612613
"LINC00612","LINC00612",6.02922423423423
"A2M","A2M",6.3156072972973
"GYS2","GYS2",5.68652927927928
"SLC38A2","SLC38A2",5.30692837837838
"LIMA1","LIMA1",3.97131468468468
"KRT78","KRT78",6.29349252252252
"LRIG3","LRIG3",3.6504463963964
"KERA","KERA",5.35116279279279
"BTG1","BTG1",5.28288837837838
"CORO1C","CORO1C",4.29212558558559
"PPP1CC","PPP1CC",5.83112828828829
"RNU6-1088P","RNU6-1088P",7.4705509009009
"UBC","UBC",6.89073
"DHX37","DHX37",8.03837585585586
"RNU6-64P","RNU6-64P",5.09854513513513
"COG6","COG6",3.79027747747748
"PTMAP5","PTMAP5",3.81186153153153
"SLITRK5","SLITRK5",6.90255927927928
"KRT18P27","KRT18P27",6.41557135135135
"UBAC2","UBAC2",9.02652009009009
"RN7SKP9","RN7SKP9",7.26617648648649
"TPP2","TPP2",4.18158522522523
"PARP4","PARP4",4.08439351351351
"USP12","USP12",3.91915855855856
"N4BP2L2","N4BP2L2",4.21097306306306
"LINC00598","LINC00598",6.10737576576577
"TSC22D1","TSC22D1",4.28981126126126
"POLR2KP2","POLR2KP2",4.63808846846847
"OR7E104P","OR7E104P",6.49051936936937
"HNRNPA3P5","HNRNPA3P5",5.86442198198198
"MMP14","MMP14",4.28288207207207
"RPL23AP71","RPL23AP71",6.21003648648649
"KLHDC2","KLHDC2",4.24167828828829
"SRSF5","SRSF5",4.96879099099099
"RNU6-790P","RNU6-790P",5.03191612612613
"RNU4-68P","RNU4-68P",5.06785486486486
"OR4E1","OR4E1",6.10304981981982
"FBXO33","FBXO33",6.77717225225225
"NEMF","NEMF",9.56156252252252
"RN7SL3","RN7SL3",8.68915216216216
"SYNDIG1L","SYNDIG1L",6.1110554954955
"TMED10","TMED10",5.21711054054054
"STON2","STON2",6.21454576576577
"SEL1L","SEL1L",4.48057189189189
"RN7SL472P","RN7SL472P",5.5242209009009
"IGHV3-47","IGHV3-47",5.22671621621622
"GREM1","GREM1",4.26581198198198
"C15orf54","C15orf54",5.97111495495496
"RNU6-353P","RNU6-353P",5.35600594594595
"B2M","B2M",6.00173612612613
"MIR190A","MIR190A",4.71540297297297
"RPLP1","RPLP1",4.95154702702703
"RNA5SP399","RNA5SP399",3.97652585585586
"RN7SKP217","RN7SKP217",4.2529827027027
"RNU6-741P","RNU6-741P",7.47265297297297
"RPL5P1","RPL5P1",6.93275981981982
"RPS3AP49","RPS3AP49",6.24083279279279
"RNU6-953P","RNU6-953P",6.4645318018018
"GATM","GATM",5.58221675675676
"FBN1","FBN1",5.80652252252252
"ADAM10","ADAM10",5.32606900900901
"RNU6-415P","RNU6-415P",4.31890495495495
"MT3","MT3",7.89375972972973
"ZFP1","ZFP1",7.85318414414414
"PLCG2","PLCG2",8.16389324324324
"USP7","USP7",4.97486693693694
"DNAJA2","DNAJA2",3.78179567567568
"CNOT1","CNOT1",4.28344081081081
"TERB1","TERB1",4.94482828828829
"BCAR1","BCAR1",7.99806306306306
"RNASEK","RNASEK",5.92071603603604
"GRAPL","GRAPL",6.80400459459459
"WSB1","WSB1",4.62135423423423
"TMEM99","TMEM99",5.79535585585586
"EIF1","EIF1",5.42310198198198
"GAST","GAST",7.49071297297297
"LUC7L3","LUC7L3",4.42855054054054
"YWHAE","YWHAE",4.97238621621622
"MYO1D","MYO1D",4.13721891891892
"COL1A1","COL1A1",7.23348972972973
"MED13","MED13",4.24402351351351
"PECAM1","PECAM1",4.97280675675676
"RNU4-47P","RNU4-47P",5.41348099099099
"ACTG1","ACTG1",7.5511227027027
"FAAP100","FAAP100",7.81968558558559
"P4HB","P4HB",6.27703351351351
"ROCK1P1","ROCK1P1",6.56518189189189
"SMCHD1","SMCHD1",4.08312720720721
"RN7SKP44","RN7SKP44",5.39677279279279
"SNHG22","SNHG22",6.69696657657658
"RNU6-916P","RNU6-916P",5.97572297297297
"RNU6-903P","RNU6-903P",4.37499576576577
"ROCK1","ROCK1",3.68265423423423
"KLHL14","KLHL14",6.65652594594595
"RPL7A","RPL7A",5.87863243243243
"RNU6-1242P","RNU6-1242P",5.8181263963964
"RNU6-1278P","RNU6-1278P",5.27907657657658
"LMAN1","LMAN1",4.83394495495495
"ANGPTL4","ANGPTL4",7.62458387387387
"RPL23AP3","RPL23AP3",6.12241396396396
"CYP4F8","CYP4F8",6.45901747747748
"HAUS5","HAUS5",8.01380954954955
"PLD3","PLD3",4.00380414414414
"PPP2R1A","PPP2R1A",4.02727036036036
"ZNF808","ZNF808",3.94578387387387
"ZNF823","ZNF823",7.43462990990991
"LGALS4","LGALS4",4.20326171171171
"EID2B","EID2B",6.33760252252252
"ZNF836","ZNF836",4.13531567567568
"RNU6-1081P","RNU6-1081P",4.5835918018018
