"","rownames.downRegulated_DEGs.","expres"
"RN7SL503P","RN7SL503P",5.93419576576577
"RNU6-1281P","RNU6-1281P",4.82519657657658
"RNA5SP22","RNA5SP22",5.09871423423423
"WDR82P2","WDR82P2",8.3609427027027
"OLFM3","OLFM3",5.68748063063063
"MTATP6P14","MTATP6P14",6.71666945945946
"RNU6-106P","RNU6-106P",4.47563990990991
"CD1B","CD1B",5.55270045045045
"TEDDM1","TEDDM1",5.59641081081081
"SNORA70","SNORA70",5.99124900900901
"RN7SKP98","RN7SKP98",5.80855054054054
"RNU6-543P","RNU6-543P",4.33859153153153
"H2AZP5","H2AZP5",5.35079081081081
"SNORA71","SNORA71",5.96554567567568
"ENO4","ENO4",6.39348540540541
"RPL7AP53","RPL7AP53",6.09685486486486
"RN7SL248P","RN7SL248P",4.97359
"RPL23AP64","RPL23AP64",6.76118540540541
"BSX","BSX",7.9054427027027
"PDE3A","PDE3A",9.25080657657658
"RNA5SP361","RNA5SP361",4.73096603603604
"RNU6-199P","RNU6-199P",4.94030828828829
"RNU7-4P","RNU7-4P",4.36828567567568
"LINC00612","LINC00612",6.02922423423423
"GYS2","GYS2",5.68652927927928
"KRT78","KRT78",6.29349252252252
"KERA","KERA",5.35116279279279
"RNU6-1088P","RNU6-1088P",7.4705509009009
"DHX37","DHX37",8.03837585585586
"RNU6-64P","RNU6-64P",5.09854513513513
"SLITRK5","SLITRK5",6.90255927927928
"UBAC2","UBAC2",9.02652009009009
"LINC00598","LINC00598",6.10737576576577
"POLR2KP2","POLR2KP2",4.63808846846847
"OR7E104P","OR7E104P",6.49051936936937
"RPL23AP71","RPL23AP71",6.21003648648649
"RNU6-790P","RNU6-790P",5.03191612612613
"RNU4-68P","RNU4-68P",5.06785486486486
"OR4E1","OR4E1",6.10304981981982
"FBXO33","FBXO33",6.77717225225225
"NEMF","NEMF",9.56156252252252
"SYNDIG1L","SYNDIG1L",6.1110554954955
"STON2","STON2",6.21454576576577
"RN7SL472P","RN7SL472P",5.5242209009009
"IGHV3-47","IGHV3-47",5.22671621621622
"C15orf54","C15orf54",5.97111495495496
"RNU6-353P","RNU6-353P",5.35600594594595
"MIR190A","MIR190A",4.71540297297297
"RN7SKP217","RN7SKP217",4.2529827027027
"RNU6-741P","RNU6-741P",7.47265297297297
"RNU6-953P","RNU6-953P",6.4645318018018
"RNU6-415P","RNU6-415P",4.31890495495495
"MT3","MT3",7.89375972972973
"ZFP1","ZFP1",7.85318414414414
"PLCG2","PLCG2",8.16389324324324
"TERB1","TERB1",4.94482828828829
"BCAR1","BCAR1",7.99806306306306
"GRAPL","GRAPL",6.80400459459459
"TMEM99","TMEM99",5.79535585585586
"GAST","GAST",7.49071297297297
"RNU4-47P","RNU4-47P",5.41348099099099
"FAAP100","FAAP100",7.81968558558559
"ROCK1P1","ROCK1P1",6.56518189189189
"RN7SKP44","RN7SKP44",5.39677279279279
"RNU6-916P","RNU6-916P",5.97572297297297
"RNU6-903P","RNU6-903P",4.37499576576577
"KLHL14","KLHL14",6.65652594594595
"RNU6-1242P","RNU6-1242P",5.8181263963964
"RNU6-1278P","RNU6-1278P",5.27907657657658
"ANGPTL4","ANGPTL4",7.62458387387387
"CYP4F8","CYP4F8",6.45901747747748
"HAUS5","HAUS5",8.01380954954955
"ZNF823","ZNF823",7.43462990990991
"EID2B","EID2B",6.33760252252252
"RNU6-1081P","RNU6-1081P",4.5835918018018
"RNU2-13P","RNU2-13P",6.05612675675676
"LPIN1","LPIN1",9.13563684684685
"RNU5E-7P","RNU5E-7P",4.96817900900901
"SPDYA","SPDYA",5.59315153153153
"CTNNA2","CTNNA2",6.83228414414414
"RNU2-41P","RNU2-41P",5.43246324324324
"MTND4P28","MTND4P28",5.83583720720721
"RN7SL423P","RN7SL423P",5.00391207207207
"RNU6-959P","RNU6-959P",5.21569144144144
"RNU1-133P","RNU1-133P",4.51950765765766
"RN7SL753P","RN7SL753P",4.80336810810811
"MTCO1P17","MTCO1P17",4.34021918918919
"RNU6-268P","RNU6-268P",4.7081127027027
"RNU4-73P","RNU4-73P",5.02347783783784
"RNU6-566P","RNU6-566P",4.68939153153153
"RNU4-49P","RNU4-49P",4.47042756756757
"RNU6-561P","RNU6-561P",5.13452063063063
"RNU6-640P","RNU6-640P",4.9467045045045
"RNU2-63P","RNU2-63P",4.94056459459459
"RNU6-998P","RNU6-998P",5.42933261261261
"TMPRSS11E","TMPRSS11E",6.87026252252252
"NPFFR2","NPFFR2",5.59443324324324
"RNU1-36P","RNU1-36P",5.49760594594595
"RPS3A","RPS3A",5.67086
"COX7B2","COX7B2",5.52680846846847
"UGT2B4","UGT2B4",5.86017900900901
"RNU6-784P","RNU6-784P",5.28056954954955
"RN7SKP244","RN7SKP244",5.01286765765766
"SMIM43","SMIM43",5.76611558558559
"HSPD1P1","HSPD1P1",6.16163387387387
"RNU6-299P","RNU6-299P",8.17151423423423
"MAP1B","MAP1B",9.65810963963964
"RNU6-620P","RNU6-620P",5.10204081081081
"RN7SKP122","RN7SKP122",5.92876891891892
"RNU6-373P","RNU6-373P",6.69054063063063
"CATSPER3","CATSPER3",6.10732711711712
"RNU5B-4P","RNU5B-4P",4.85119216216216
"TENM2","TENM2",6.56100099099099
"RNU6-660P","RNU6-660P",4.32265288288288
"RNU6-524P","RNU6-524P",4.98334711711712
"MTND4LP30","MTND4LP30",5.26004063063063
"C5orf46","C5orf46",6.92462009009009
"RNU6-588P","RNU6-588P",4.99813018018018
"RNU2-48P","RNU2-48P",4.83269612612613
"HCG9","HCG9",5.96354171171171
"FBXO9","FBXO9",9.10744108108108
