"","GSM1527105","GSM1527109","GSM1527137","GSM1527139","GSM1527141","GSM1527145","GSM1527147","GSM1527149","GSM1527151","GSM1527153","GSM1527155","GSM1527157","GSM1527159","GSM1527161","GSM1527163","GSM1527165","GSM1527167","GSM1527169","GSM1527171","GSM1527175","GSM1527177","GSM1527179","GSM1527181","GSM1527183","GSM1527185","GSM1527189","GSM1527191","GSM1527193","GSM1527196","GSM1527198","GSM1527199","GSM1527200","GSM1527202","GSM1527204","GSM1527205","GSM1527207","GSM1527209","GSM1527212","GSM1527213","GSM1527215","GSM1527216","GSM1527218","GSM1527219","GSM1527220","GSM1527223","GSM1527225","GSM1527227","GSM1527228","GSM1527230","GSM1527232","GSM1527195","GSM1527106","GSM1527108","GSM1527110","GSM1527112","GSM1527114","GSM1527116","GSM1527118","GSM1527120","GSM1527122","GSM1527124","GSM1527126","GSM1527128","GSM1527130","GSM1527132","GSM1527134","GSM1527136","GSM1527138","GSM1527140","GSM1527142","GSM1527144","GSM1527146","GSM1527148","GSM1527150","GSM1527152","GSM1527154","GSM1527156","GSM1527158","GSM1527160","GSM1527162","GSM1527164","GSM1527166","GSM1527168","GSM1527170","GSM1527172","GSM1527174","GSM1527176","GSM1527178","GSM1527180","GSM1527182","GSM1527184","GSM1527186","GSM1527188","GSM1527190","GSM1527192","GSM1527194","GSM1527197","GSM1527201","GSM1527203","GSM1527206","GSM1527208","GSM1527211","GSM1527214","GSM1527217","GSM1527221","GSM1527222","GSM1527224","GSM1527226","GSM1527229","GSM1527231","GSM1527233"
"RN7SL503P",3.0072,3.07264,3.03079,3.06145,2.87826,2.89037,3.23872,2.94103,2.98932,2.8047,2.91251,2.8836,2.92708,2.8764,3.03742,2.61119,2.96576,3.0444,3.25734,3.03974,3.03289,3.0297,2.79014,3.03289,3.54023,2.72585,2.98116,2.82797,3.04055,2.87318,2.784,2.84409,2.98965,3.19443,2.78579,2.99599,2.7395,2.8093,2.87996,3.33432,3.021,2.99352,2.87447,2.78317,2.93485,2.90284,3.13253,2.78443,2.9776,2.82492,7.78,8.25231,8.1646,8.67176,8.87725,8.66136,8.12595,8.34733,8.86299,8.74829,8.41795,8.44225,8.76395,8.08542,8.3136,8.26292,7.78851,8.13861,8.46222,8.50141,8.31999,8.38373,8.92268,7.88197,8.49801,8.65218,8.27555,8.21479,7.87012,8.53328,7.98316,8.48711,8.58094,8.3683,8.54998,8.5296,8.20927,8.82019,8.5384,8.47433,8.50368,8.37335,8.22935,8.40351,8.53786,8.56527,8.15828,7.76421,8.42393,8.3943,7.89452,8.89109,7.93472,8.09122,8.49187,7.97086,8.67085,8.15569,8.35492,9.25856,7.93459
"PRDX1",7.33033,7.70208,7.15901,6.74078,7.70422,7.87975,7.44222,7.90778,7.78368,8.35823,7.62402,7.81752,7.94876,7.70646,7.74136,8.05483,7.88561,7.83031,7.48612,7.21043,7.70791,7.69273,7.58028,7.71956,6.92588,7.90778,7.55161,7.47598,7.26274,8.18803,7.90973,7.61439,7.98003,8.31107,7.31547,7.26702,8.12327,7.54362,7.86606,7.16538,7.17689,8.81398,7.67525,7.9403,7.42722,7.54922,6.84955,7.60426,7.79265,7.38841,1.93927,2.84833,2.17712,2.67883,3.04396,2.56305,2.05018,2.40204,2.5867,2.19115,2.31711,2.50237,2.29255,2.69572,2.89493,2.35698,2.31026,2.13468,2.51239,2.6756,2.3451,2.49817,2.82598,2.41345,2.41,2.61717,2.25799,3.52612,2.93611,1.92753,2.08058,2.31002,2.68558,2.5927,2.38465,2.77132,2.74366,2.69147,2.72902,2.80945,2.3496,2.51419,2.41428,2.54202,2.38566,2.67363,2.51847,3.05114,2.23345,2.26539,2.91681,2.3571,2.63788,2.50641,2.62737,2.71375,2.38125,2.47195,2.45984,2.50412,2.51379
"RNU6-1281P",1.50685,1.66075,1.65383,1.74547,1.50264,1.57726,1.73056,1.71293,1.53798,1.77776,1.65079,1.6511,1.51698,1.64824,1.72193,1.79006,1.67366,1.9077,1.63246,1.61752,1.59559,1.63092,1.61292,1.71393,1.77263,1.54546,1.50454,1.64891,1.92757,1.61587,1.5483,1.52102,1.67011,1.49693,1.70322,1.68184,1.76113,1.62904,1.74073,1.54769,1.45935,1.64365,1.76891,1.49492,1.49206,1.56299,2.13261,1.51056,1.53054,1.62119,7.39166,6.77804,7.21141,7.74384,7.95926,8.23383,7.50617,7.51098,7.78921,7.95875,7.60693,7.03361,7.97384,7.063,7.4853,7.61767,6.92646,7.29001,7.44921,7.9077,7.53411,7.84668,7.19377,6.73845,7.53054,7.23985,7.84294,7.61891,6.9342,7.42319,6.94485,7.88276,7.50159,7.22259,8.01778,8.05754,7.39268,8.13347,7.70377,7.58041,7.92108,7.32345,7.19477,7.40648,7.48649,7.71628,7.2759,6.18966,7.47435,7.37908,6.50481,7.92743,6.78032,6.78194,7.10981,6.94133,8.06105,6.75838,7.57258,8.04075,6.67232
"NRDC",7.05623,7.31722,7.41358,7.37678,7.45387,7.67748,7.48951,7.55133,7.39585,7.43901,7.15738,7.5778,7.66043,7.32299,7.6067,7.38697,7.58653,7.49139,7.45595,7.48171,7.52742,7.53111,7.03333,7.59016,7.07503,7.4464,7.31204,7.25136,6.65189,7.68721,8.09175,7.86293,7.66635,7.8097,7.62336,7.74,7.72368,7.69692,7.71192,7.4213,7.3082,8.45031,7.53552,7.86261,7.53351,7.37063,6.81351,7.45326,7.78689,7.73232,2.01459,1.8393,1.66595,1.65714,1.6058,1.59986,1.52291,1.69509,1.70343,1.64141,1.52662,1.56583,1.59374,1.79543,1.61347,1.59395,1.83108,1.54662,1.7363,1.55658,1.60047,1.58394,1.64098,1.84261,1.5789,1.65821,1.70866,3.52608,2.12266,1.82216,1.70747,1.56018,1.61132,1.67865,1.67482,1.48254,1.62833,1.69706,1.63173,1.74806,1.54515,1.56111,1.66026,1.43104,1.56465,1.56984,1.46951,2.22953,1.48524,1.81129,1.71372,1.72672,1.80208,1.83845,1.65489,1.62989,1.55495,1.70776,1.87076,1.60396,1.73529
"JAK1",7.87129,7.68508,8.02205,7.82567,8.14093,8.31332,8.12552,8.10481,8.18344,8.15705,7.88604,8.50287,8.11671,8.15558,7.99715,8.07319,8.00926,7.88573,7.77827,8.34029,7.87843,8.19667,7.86609,7.85545,7.39738,8.07742,8.24722,7.65713,7.45343,8.16285,8.35615,8.34972,8.1847,8.21176,8.28427,7.95774,7.82315,8.13691,7.95254,7.97454,7.65654,8.37831,8.25274,8.40095,8.03061,7.71223,6.9647,8.07824,8.40637,8.42229,1.58649,1.49762,1.49076,1.59731,1.57897,1.52368,1.46358,1.45831,1.75468,1.45599,1.52468,1.42801,1.62461,1.60407,1.54489,1.52279,1.54616,1.51893,1.53881,1.66318,1.58281,1.49422,1.6488,1.63005,1.44297,1.68444,1.58786,1.63465,1.95979,1.60934,1.66563,1.69636,1.52935,1.66375,1.55712,1.62304,1.53678,1.61774,1.54911,1.55763,1.60421,1.65521,1.62052,1.46084,1.45501,1.53881,1.59292,1.55694,1.49502,1.58862,1.80265,1.66474,1.86467,1.5518,1.54737,1.50346,1.62025,1.70201,1.51028,1.46381,1.54676
"GNG12",7.22753,7.01886,7.00686,7.03085,7.37905,7.49567,7.44564,7.34352,7.60436,7.44962,7.32175,7.91175,7.59056,7.40642,7.42283,7.56535,7.4482,7.48066,6.85357,7.45193,7.68504,7.58871,7.35059,7.44637,6.32789,7.7359,7.55695,7.1049,6.59148,7.94449,8.28858,7.644,7.95353,8.11219,7.64377,7.45837,7.52196,7.74354,7.57313,7.17395,7.44043,7.70387,7.72393,7.91749,7.45286,7.46269,5.8831,7.5711,8.16354,7.74353,1.73338,1.92074,1.67597,1.71068,1.74462,1.54586,1.46392,1.77934,1.65644,1.58645,1.51788,1.64713,1.79636,1.6365,1.83303,1.60751,2.23242,1.76785,1.5978,1.48891,1.50574,1.55122,1.73901,1.69591,1.56992,1.65969,1.65713,1.7579,2.31786,1.5482,1.84695,1.65446,1.51794,1.60723,1.55162,1.51679,1.7449,1.55313,1.60081,1.6834,1.59709,1.79873,1.6807,1.53593,1.61053,1.5152,1.58554,1.66173,1.66674,1.61607,1.81668,1.74329,1.64456,1.85925,1.58189,1.63236,1.50003,1.60958,1.59183,1.76737,1.80875
"RNA5SP22",2.20825,2.70684,2.88843,1.99275,1.82573,2.52836,1.97867,1.89351,2.52115,2.20828,1.81615,2.14514,1.87282,2.45485,2.32103,2.13788,1.52913,2.73575,1.43523,2.16233,2.23734,2.61861,1.55029,2.17544,2.81282,1.92147,2.21677,1.85519,2.58667,2.55578,2.01905,2.40231,2.26413,2.49595,1.96215,1.90277,2.69027,2.23711,2.4704,2.29934,1.81842,1.82652,2.13564,1.84511,1.90047,1.90955,2.02959,2.69777,2.51323,2.28058,7.35229,6.86976,7.38684,7.19123,7.98786,7.77857,7.15441,7.37927,7.95207,7.37999,7.77834,7.46351,7.37363,7.21872,7.72181,7.55724,7.17914,7.43407,7.42636,7.85427,7.76872,7.354,7.68068,6.96921,7.63561,7.27029,7.47107,7.82331,6.89035,6.94609,7.46548,7.36889,7.92428,7.50783,7.52659,8.09272,7.69467,7.95119,7.85427,7.81157,7.60328,7.56944,7.78939,7.69977,7.4177,8.01729,7.4217,6.20724,7.70989,7.74636,6.69627,8.26156,6.82087,7.15237,7.62773,7.22894,7.84521,7.10852,7.27456,7.62632,7.09365
"WDR82P2",3.39271,3.31358,3.07787,2.86623,3.19567,3.21205,3.17226,3.11763,2.97159,3.2173,2.94037,2.97594,3.38961,2.95883,2.96832,3.18518,3.10528,3.06545,3.04307,3.2343,3.00535,3.1958,3.20668,3.03539,3.18721,2.88622,2.81717,2.82729,3.26816,3.12615,2.85718,3.31716,3.15413,3.08242,3.01489,3.33414,3.12443,3.05687,2.93347,3.01899,3.06897,2.66945,2.88508,2.84845,3.14495,3.2357,3.29398,3.10571,3.13116,2.85855,12.7458,12.9059,12.3839,12.8479,12.8662,12.7543,13.1177,12.7345,13.0592,13.0512,12.9177,12.6089,13.0932,12.9183,12.3166,12.6573,12.3555,12.3412,12.855,12.6755,12.9234,12.7055,13.0301,12.558,12.5042,12.916,12.8734,12.4348,12.4284,12.7808,12.3688,12.6041,12.3691,12.779,13.1083,12.4253,12.5189,12.686,11.7536,12.4149,12.986,12.6056,12.6429,12.6833,12.9786,12.6105,12.6924,12.7401,12.5515,12.6038,12.6951,12.7908,12.6247,12.6838,12.5856,12.6102,12.6374,12.753,12.753,12.7432,12.6104
"RPL7P23",7.62003,6.99407,8.10976,8.07555,6.80802,7.13721,7.49066,7.20206,7.1428,6.15376,6.81697,6.56965,7.71472,7.00932,7.57962,6.82679,7.01194,6.94576,6.62445,6.44737,7.59483,7.73264,7.49497,6.18161,7.70569,7.09188,6.63559,7.32811,6.68146,7.90984,7.02205,7.37619,7.08121,7.23506,7.42378,7.85896,7.59545,6.73834,6.9925,7.35561,7.81043,7.21029,7.30105,7.37299,7.20679,6.93114,8.17767,7.95443,7.82443,6.92032,1.87275,1.94057,1.99646,1.88217,1.90058,1.80319,2.02797,1.85219,1.7137,1.71502,1.78742,1.87946,1.60834,1.96818,1.89244,1.78104,2.17678,1.83445,1.79207,1.93208,1.87982,1.78459,1.73558,1.91922,1.80227,1.85898,1.72226,1.69633,2.37956,1.81128,1.89214,1.99047,1.97204,1.8321,1.69688,1.97895,2.0107,1.72182,1.70747,1.77781,1.63809,2.05432,2.07054,1.71673,1.79687,1.64617,1.80355,1.97751,1.92317,1.83488,1.75323,1.93539,2.09592,2.06985,1.72877,1.88367,1.78163,1.75734,1.85994,1.85171,2.03982
"RPSAP15",8.48577,8.68206,8.80361,8.59754,8.38208,8.429,8.21358,8.31536,8.1659,8.32003,8.28406,8.00112,8.64227,8.1468,8.79729,8.12616,8.4014,8.24425,7.96814,7.68391,8.17201,8.65448,8.36263,7.9176,8.7627,8.00995,8.39365,8.63065,8.48551,8.57229,7.69046,8.28163,8.53396,8.34096,8.507,8.85622,8.27593,7.98757,7.99145,8.24568,8.33069,7.98495,7.53473,8.0967,8.31601,8.2183,8.45847,8.2695,7.81459,7.93983,3.89269,4.12479,2.83089,3.69578,3.25155,3.23853,3.59274,2.91085,3.47628,3.48165,3.03447,2.85143,3.05547,3.77387,2.9395,2.98979,3.09372,3.01016,2.95855,2.80402,3.11224,2.58278,3.35222,2.7685,2.94509,3.38961,3.13507,2.94355,3.49388,3.84473,2.88397,2.96459,2.97212,3.09883,3.35083,3.0543,2.75889,3.22624,2.82674,2.84823,3.20656,2.67835,3.08864,2.87067,3.09258,2.61225,2.45458,4.48506,2.5076,3.20536,3.99998,3.37667,4.13926,3.57573,2.79755,2.63076,2.23371,3.5607,3.2338,3.48822,2.35452
