"","rownames.upRegulated_DEGs.","expres"
"PRDX1","PRDX1",4.83249693693694
"NRDC","NRDC",4.31689504504504
"JAK1","JAK1",4.48686162162162
"GNG12","GNG12",4.27936315315315
"RPL7P23","RPL7P23",4.28623468468468
"RPSAP15","RPSAP15",5.46376684684685
"CDC42SE1","CDC42SE1",3.85913567567568
"GLUL","GLUL",5.10712108108108
"EDEM3","EDEM3",4.07920369369369
"IVNS1ABP","IVNS1ABP",4.92071765765766
"VIM","VIM",4.69509765765766
"RAB18","RAB18",4.21371576576577
"NCOA4","NCOA4",4.4229745045045
"DDX50","DDX50",3.93446063063063
"SLK","SLK",4.58257279279279
"PDCD4","PDCD4",4.46169630630631
"PNLIP","PNLIP",4.88010405405405
"YME1L1","YME1L1",4.96584504504504
"KIF5B","KIF5B",5.28375396396396
"NAMPTP1","NAMPTP1",5.0872354954955
"MMP7","MMP7",5.35016666666667
"HSPA8","HSPA8",7.26105468468468
"GAPDH","GAPDH",6.69823027027027
"C1S","C1S",5.38450846846847
"PTMAP9","PTMAP9",5.33893855855856
"EMP1","EMP1",4.61626162162162
"DIP2B","DIP2B",3.81290162162162
"MDM2","MDM2",3.8881218018018
"HSP90B1","HSP90B1",6.67241036036036
"RPL18A","RPL18A",6.71812216216216
"ATP2A2","ATP2A2",5.42100657657658
"CD163","CD163",3.94956612612613
"A2M","A2M",6.3156072972973
"SLC38A2","SLC38A2",5.30692837837838
"LIMA1","LIMA1",3.97131468468468
"LRIG3","LRIG3",3.6504463963964
"BTG1","BTG1",5.28288837837838
"CORO1C","CORO1C",4.29212558558559
"PPP1CC","PPP1CC",5.83112828828829
"UBC","UBC",6.89073
"COG6","COG6",3.79027747747748
"PTMAP5","PTMAP5",3.81186153153153
"KRT18P27","KRT18P27",6.41557135135135
"RN7SKP9","RN7SKP9",7.26617648648649
"TPP2","TPP2",4.18158522522523
"PARP4","PARP4",4.08439351351351
"USP12","USP12",3.91915855855856
"N4BP2L2","N4BP2L2",4.21097306306306
"TSC22D1","TSC22D1",4.28981126126126
"HNRNPA3P5","HNRNPA3P5",5.86442198198198
"MMP14","MMP14",4.28288207207207
"KLHDC2","KLHDC2",4.24167828828829
"SRSF5","SRSF5",4.96879099099099
"RN7SL3","RN7SL3",8.68915216216216
"TMED10","TMED10",5.21711054054054
"SEL1L","SEL1L",4.48057189189189
"GREM1","GREM1",4.26581198198198
"B2M","B2M",6.00173612612613
"RPLP1","RPLP1",4.95154702702703
"RNA5SP399","RNA5SP399",3.97652585585586
"RPL5P1","RPL5P1",6.93275981981982
"RPS3AP49","RPS3AP49",6.24083279279279
"GATM","GATM",5.58221675675676
"FBN1","FBN1",5.80652252252252
"ADAM10","ADAM10",5.32606900900901
"USP7","USP7",4.97486693693694
"DNAJA2","DNAJA2",3.78179567567568
"CNOT1","CNOT1",4.28344081081081
"RNASEK","RNASEK",5.92071603603604
"WSB1","WSB1",4.62135423423423
"EIF1","EIF1",5.42310198198198
"LUC7L3","LUC7L3",4.42855054054054
"YWHAE","YWHAE",4.97238621621622
"MYO1D","MYO1D",4.13721891891892
"COL1A1","COL1A1",7.23348972972973
"MED13","MED13",4.24402351351351
"PECAM1","PECAM1",4.97280675675676
"ACTG1","ACTG1",7.5511227027027
"P4HB","P4HB",6.27703351351351
"SMCHD1","SMCHD1",4.08312720720721
"SNHG22","SNHG22",6.69696657657658
"ROCK1","ROCK1",3.68265423423423
"RPL7A","RPL7A",5.87863243243243
"LMAN1","LMAN1",4.83394495495495
"RPL23AP3","RPL23AP3",6.12241396396396
"PLD3","PLD3",4.00380414414414
"PPP2R1A","PPP2R1A",4.02727036036036
"ZNF808","ZNF808",3.94578387387387
"LGALS4","LGALS4",4.20326171171171
"ZNF836","ZNF836",4.13531567567568
"RAB10","RAB10",3.86893387387387
"CRIM1","CRIM1",4.27977378378378
"SPTBN1","SPTBN1",5.38178162162162
"ANTXR1","ANTXR1",4.52660333333333
"ANXA4","ANXA4",5.07477522522522
"TMSB10","TMSB10",5.43191792792793
"MAT2A","MAT2A",5.70221045045045
"IGKV1-33","IGKV1-33",4.46990054054054
"ACTR3","ACTR3",4.9881836036036
"DDX18","DDX18",3.94850585585586
"RALB","RALB",3.82931216216216
"CERS6","CERS6",4.65543135135135
"SSB","SSB",4.96004675675676
"HNRNPA3P6","HNRNPA3P6",4.51185873873874
"DNAJC10","DNAJC10",4.44734063063063
"COL3A1","COL3A1",7.32135036036036
"MYO1B","MYO1B",4.47104513513514
"BZW1P2","BZW1P2",4.62184621621622
"BMPR2","BMPR2",4.48815864864865
"ARPC2","ARPC2",5.36373099099099
"CAB39","CAB39",4.31006414414414
"ITM2C","ITM2C",4.03789981981982
"LAPTM4A","LAPTM4A",6.73889009009009
"CALM2","CALM2",5.18858162162162
"PPP4R3B","PPP4R3B",3.88051342342342
"RAB1A","RAB1A",4.88780666666667
"GFPT1","GFPT1",4.76233531531532
"REG1B","REG1B",4.94571108108108
"CHMP3","CHMP3",4.8033027027027
"SLAIN2","SLAIN2",4.11696576576577
"PDGFRA","PDGFRA",4.43152657657658
"MT2P1","MT2P1",6.50494720720721
"SEL1L3","SEL1L3",4.15323684684685
"RAC1P2","RAC1P2",4.83119810810811
"JCHAIN","JCHAIN",5.44853675675676
"CCNI","CCNI",6.11900468468468
"HSD17B11","HSD17B11",5.06829054054054
"PYURF","PYURF",4.05783441441441
"ANXA5","ANXA5",5.30153621621622
"RNU1-89P","RNU1-89P",4.94625117117117
"SFRP2","SFRP2",5.63455594594595
"SUB1","SUB1",4.53466522522523
"TNPO1","TNPO1",4.16599198198198
"SCAMP1","SCAMP1",4.13081171171171
"VCAN","VCAN",6.51425072072072
"PAM","PAM",4.44465522522523
"RAD50","RAD50",3.95000342342342
"RPLP0P6","RPLP0P6",5.0920236036036
"RPL10","RPL10",7.22927072072072
"GOLPH3","GOLPH3",4.62449531531532
"RPS23","RPS23",5.46938801801802
"MT-ND6","MT-ND6",6.20031531531531
"CHD1","CHD1",3.62642702702703
"SPINK1","SPINK1",5.59404243243243
"CD74","CD74",6.2314972972973
"DUSP1","DUSP1",4.86466576576577
"HNRNPH1","HNRNPH1",4.72478513513513
"RACK1","RACK1",6.71587612612613
"HLA-J","HLA-J",5.31791801801802
"CSNK2B","CSNK2B",5.26600342342342
"HLA-DRA","HLA-DRA",6.18768828828829
"UBR2","UBR2",4.17755855855856
"PNRC1","PNRC1",5.08266981981982
"TNFAIP3","TNFAIP3",3.91248522522523
"QKI","QKI",3.91980117117117
"SSR1","SSR1",4.52466720720721
"ELOVL5","ELOVL5",4.15276297297297
"RPL39","RPL39",5.51250621621622
"CD164","CD164",4.93933936936937
"SERINC1","SERINC1",4.56648594594595
"BCLAF1P2","BCLAF1P2",4.82840522522523
"SOD2","SOD2",5.33517
"COL1A2","COL1A2",7.3964436036036
"SND1","SND1",4.50630261261261
"CPA2","CPA2",4.72558531531531
"CPA1","CPA1",5.57192252252252
"EXOC4","EXOC4",4.14188198198198
"PRSS2","PRSS2",4.36559801801802
"ACTB","ACTB",7.05993540540541
"EIF2AK1","EIF2AK1",3.97040954954955
"HNRNPA2B1","HNRNPA2B1",5.30185648648649
"SEMA3C","SEMA3C",4.06561414414414
"LAMB1","LAMB1",5.10924117117117
"FAM3C2P","FAM3C2P",4.20572891891892
"GOLGA7","GOLGA7",4.23019954954955
"MAL2","MAL2",5.51665648648649
"RN7SL396P","RN7SL396P",7.50871459459459
"FAM91A1","FAM91A1",3.80093630630631
"EFR3A","EFR3A",4.61061954954955
"PRKDC","PRKDC",4.3875363963964
"TRAM1","TRAM1",6.22634900900901
"PABPC1","PABPC1",5.54081207207207
"RPL8","RPL8",6.14703756756757
"SELENOTP1","SELENOTP1",4.73659054054054
"ANXA2P2","ANXA2P2",6.15275846846847
"GLULP4","GLULP4",6.14707333333333
"ANXA1","ANXA1",5.82571666666667
"UGCG","UGCG",4.23105936936937
"RPS6","RPS6",5.43906882882883
"RMRP","RMRP",6.49714522522522
"CEMIP2","CEMIP2",4.82073522522523
"GNAQ","GNAQ",4.08057468468468
"UBQLN1","UBQLN1",4.10483873873874
"ECPAS","ECPAS",4.51512657657658
"TPT1P9","TPT1P9",4.43834189189189
"EIF2S3","EIF2S3",5.25950648648649
"USP9X","USP9X",4.62837378378378
"MSN","MSN",5.39104873873874
"PLS3","PLS3",4.61337846846847
"SLC25A5","SLC25A5",4.94497369369369
"BGN","BGN",5.86470378378378
"SLC25A6","SLC25A6",5.62576603603604
"RN7SL144P","RN7SL144P",4.32597837837838
"CD24P4","CD24P4",4.91159117117117
"HLA-G","HLA-G",4.2868645045045
"HLA-A","HLA-A",6.08235234234234
"NME1-NME2","NME1-NME2",5.1078518018018
