Id,Label,Degree,Betweenness,Expression
7316,UBC,72,3370.87,6.89073
10399,RACK1,11,58.71,6.715876126
6142,RPL18A,10,56.87,6.718122162
6132,RPL8,10,56.87,6.147037568
6228,RPS23,9,38.72,5.469388018
6189,RPS3A,9,38.72,5.67086
6194,RPS6,9,38.72,5.439068829
6134,RPL10,9,0.78,7.229270721
6130,RPL7A,9,0.78,5.878632432
6176,RPLP1,8,0.5,4.951547027
60,ACTB,7,9.5,7.059935405
6170,RPL39,7,3.36,5.512506216
5034,P4HB,4,164,6.277033514
26986,PABPC1,4,20.22,5.540812072
7184,HSP90B1,4,3,6.67241036
3312,HSPA8,4,1.4,7.261054685
2597,GAPDH,3,83,6.69823027
60412,EXOC4,3,83,4.141881982
3716,JAK1,3,83,4.486861622
10096,ACTR3,3,0,4.988183604
10294,DNAJA2,3,0,3.781795676
10109,ARPC2,3,0,5.363730991
3181,HNRNPA2B1,3,0,5.301856486
3187,HNRNPH1,3,0,4.724785135
6430,SRSF5,3,0,4.968790991
5591,PRKDC,2,83,4.387536396
7874,USP7,2,83,4.974866937
4478,MSN,2,83,5.391048739
1277,COL1A1,2,0,7.23348973
1968,EIF2S3,2,0,5.259506486
10890,RAB10,2,0,3.868933874
8239,USP9X,2,0,4.628373784
1278,COL1A2,2,0,7.396443604
5501,PPP1CC,2,0,5.831128288
71,ACTG1,2,0,7.551122703
23603,CORO1C,2,0,4.292125586
29979,UBQLN1,2,0,4.104838739
10209,EIF1,2,0,5.423101982
1843,DUSP1,1,0,4.864665766
7128,TNFAIP3,1,0,3.912485225
5156,PDGFRA,1,0,4.431526577
23392,KIAA0368,1,0,4.515126577
102,ADAM10,1,0,5.326069009
3998,LMAN1,1,0,4.833944955
7531,YWHAE,1,0,4.972386216
7431,VIM,1,0,4.695097658
5052,PRDX1,1,0,4.832496937
301,ANXA1,1,0,5.825716667
64083,GOLPH3,1,0,4.624495315
2998,GYS2,1,0,5.686529279
805,CALM2,1,0,5.188581622
8886,DDX18,1,0,3.948505856
27250,PDCD4,1,0,4.461696306
4131,MAP1B,1,0,9.65810964
5899,RALB,1,0,3.829312162
6741,SSB,1,0,4.960046757
5518,PPP2R1A,1,0,4.02727036
4144,MAT2A,1,0,5.70221045
23019,CNOT1,1,0,4.283440811
3842,TNPO1,1,0,4.165991982
85453,TSPYL5,1,0,7.643722613
2752,GLUL,1,0,5.107121081
10923,SUB1,1,0,4.534665225
57609,DIP2B,1,0,3.812901622
81618,ITM2C,1,0,4.03789982
54407,SLC38A2,1,0,5.306928378
308,ANXA5,1,0,5.301536216
9741,LAPTM4A,1,0,6.73889009
27044,SND1,1,0,4.506302613
6711,SPTBN1,1,0,5.381781622
292,SLC25A5,1,0,4.944973694
387712,ENO4,1,0,6.393485405
6648,SOD2,1,0,5.33517
293,SLC25A6,1,0,5.625766036
4898,NRDC,1,0,4.316895045
7174,TPP2,1,0,4.181585225
5861,RAB1A,1,0,4.887806667
6093,ROCK1,1,0,3.682654234
654364,NME1-NME2,1,0,5.107851802
23646,PLD3,1,0,4.003804144
51125,GOLGA7,1,0,4.23019955
2673,GFPT1,1,0,4.762335315
23304,UBR2,1,0,4.177558559
337867,UBAC2,1,0,9.02652009
488,ATP2A2,1,0,5.421006577
