Category	Term	Count	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	%
GOTERM_BP_DIRECT	GO:0006413~translational initiation	12	3.05E-06	"RPL7A, EIF2S3, RPL10, RPL18A, RPLP1, RPS6, RPS3A, PABPC1, RPL8, RPL39, EIF1, RPS23"	232	137	16792	6.339793607	0.004849816	0.004580664	0.004566313	3.278688525
GOTERM_BP_DIRECT	"GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	11	5.74E-06	"RPL7A, RPL10, RPL18A, PPP2R1A, RPLP1, RPS6, RPS3A, PABPC1, RPL8, RPL39, RPS23"	232	119	16792	6.690524486	0.009119516	0.004580664	0.004566313	3.005464481
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	9	4.58E-05	"RPL7A, RPL10, RPL18A, RPLP1, RPS6, RPS3A, RPL8, RPL39, RPS23"	232	94	16792	6.929933969	0.070418478	0.0243397	0.024263448	2.459016393
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	19	6.12E-05	"CD74, ANXA1, DUSP1, PRKDC, ANXA4, RPS6, ANXA5, RPS3A, SOD2, MT3, HSP90B1, NME1-NME2, GREM1, GOLPH3, UBC, MDM2, PDCD4, PDE3A, ANGPTL4"	232	455	16792	3.02243274	0.093038142	0.024412974	0.024336492	5.191256831
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	14	1.01E-04	"YWHAE, RAB1A, HSPA8, SND1, RAB10, LIMA1, RPL7A, MYO1B, EIF2S3, SLK, KIF5B, PRDX1, RACK1, SPTBN1"	232	271	16792	3.739152564	0.148577102	0.032167645	0.03206687	3.825136612
GOTERM_BP_DIRECT	GO:0019083~viral transcription	9	1.58E-04	"RPL7A, RPL10, RPL18A, RPLP1, RPS6, RPS3A, RPL8, RPL39, RPS23"	232	112	16792	5.816194581	0.22310504	0.042071693	0.04193989	2.459016393
GOTERM_BP_DIRECT	GO:0016032~viral process	14	2.66E-04	"YWHAE, PDGFRA, HSPA8, USP7, TRAM1, HLA-A, SND1, RAD50, MDM2, RACK1, HLA-DRA, VIM, TNPO1, SLC25A5"	232	299	16792	3.388997809	0.345901966	0.060634513	0.060444555	3.825136612
GOTERM_BP_DIRECT	GO:0048013~ephrin receptor signaling pathway	7	0.001194148	"ACTR3, EPHB6, ARPC2, ROCK1, ADAM10, ACTB, ACTG1"	232	86	16792	5.891339214	0.851474667	0.238232612	0.237486269	1.912568306
GOTERM_BP_DIRECT	GO:0051893~regulation of focal adhesion assembly	4	0.001515207	"GREM1, SLK, ROCK1, CORO1C"	232	17	16792	17.03042596	0.911087645	0.268696692	0.26785491	1.092896175
GOTERM_BP_DIRECT	GO:0030574~collagen catabolic process	6	0.001859685	"COL1A1, COL3A1, MMP14, MMP7, COL1A2, PRSS2"	232	64	16792	6.785560345	0.94873875	0.285430476	0.284536271	1.639344262
