Category	Term	Count	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	%
GOTERM_MF_DIRECT	GO:0005515~protein binding	151	1.11E-06	"ANTXR1, ACTB, ACTG1, PPP1CC, SLK, RPL18A, SIT1, PPP2R1A, KIF5B, PRSS2, B2M, GOLGA7, GLUL, TMSB10, FAAP100, FBXO9, PDGFRA, DDX18, USP7, WSB1, SPINK1, COG6, RPS6, ADAM10, HLA-A, SCAMP1, SND1, PYURF, OLFM3, MAP1B, SUB1, CSNK2B, SRSF5, CAGE1, TSPYL5, TMED10, PRKDC, SEL1L, SLAIN2, UBR2, CD1B, PLD3, HSP90B1, CORO1C, PRDX1, UBC, PLCG2, SSR1, A2M, TRPM6, SLC38A2, SPTBN1, CD164, HSPA8, CD163, NRDC, MSN, ZNF34, GNG12, MT3, FBXO33, QKI, UBAC2, COL1A1, EIF2S3, COL1A2, ARPC2, CNOT1, GNAQ, DNAJC10, MDM2, TPP2, SERINC1, CALM2, PAM, RPS23, FBN1, ITM2C, YWHAE, CNTNAP2, TRAM1, BMPR2, BTG1, RPLP1, TNFAIP3, ATP2A2, STON2, NXT2, CHD1, N4BP2L2, RPL7A, RACK1, GAST, TNPO1, JAK1, ACTR3, ANXA1, PARP4, TSC22D1, DUSP1, ELOVL5, ANXA4, ANXA5, EMP1, RPS3A, TRDN, GREM1, VCAN, MMP14, HNRNPH1, TGIF2LY, PECAM1, EXOC4, LUC7L3, CHMP3, PABPC1, ANGPTL4, SLC25A5, GAPDH, SLC25A6, RAB1A, RALB, CAB39, C1S, ROCK1, RPL10, USP12, SNX31, LIMA1, LMAN1, MAT2A, UBQLN1, MAL2, CTNNA2, CD74, SSB, USP9X, PNRC1, RAB10, COL3A1, GOLPH3, RAD50, GFI1B, FAM167A, DNAJA2, HNRNPA2B1, PDCD4, RAB18, VIM, P4HB, BCAR1"	222	8785	16881	1.307014413	4.46E-04	4.46E-04	4.36E-04	41.2568306
GOTERM_MF_DIRECT	GO:0098641~cadherin binding involved in cell-cell adhesion	16	6.76E-06	"YWHAE, RAB1A, HSPA8, ANXA1, SND1, RAB10, LIMA1, RPL7A, MYO1B, EIF2S3, SLK, KIF5B, PRDX1, RACK1, CTNNA2, SPTBN1"	222	290	16881	4.195340168	0.002705102	0.001354379	0.001323981	4.371584699
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	33	2.92E-05	"YWHAE, RPL10, PRKDC, RPL8, RPL7A, PPP1CC, RPL18A, PRDX1, UBC, RACK1, DHX37, TNPO1, SPTBN1, HSPA8, DDX18, SSB, RPS6, RPS3A, HLA-A, DDX50, QKI, SND1, EIF1, CNOT1, HNRNPH1, SUB1, HNRNPA2B1, LUC7L3, SRSF5, PABPC1, P4HB, SLC25A5, RPS23"	222	1129	16881	2.222619874	0.011640931	0.003903015	0.003815416	9.016393443
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	12	1.70E-04	"RPL7A, RPLP0P6, RPL10, RPL18A, RPLP1, RPS6, RPS3A, SLC25A5, RPL8, RPL39, RPS23, SLC25A6"	222	222	16881	4.110299489	0.065841974	0.01702597	0.016643841	3.278688525
GOTERM_MF_DIRECT	GO:0005201~extracellular matrix structural constituent	7	2.41E-04	"COL1A1, COL3A1, VCAN, COL1A2, BGN, LAMB1, FBN1"	222	67	16881	7.944534086	0.09222547	0.017471507	0.017079378	1.912568306
GOTERM_MF_DIRECT	GO:0048407~platelet-derived growth factor binding	4	3.38E-04	"COL1A1, PDGFRA, COL3A1, COL1A2"	222	11	16881	27.65110565	0.126763278	0.017471507	0.017079378	1.092896175
GOTERM_MF_DIRECT	GO:0004859~phospholipase inhibitor activity	4	3.38E-04	"ANXA1, ANXA4, ANXA5, ANXA2P2"	222	11	16881	27.65110565	0.126763278	0.017471507	0.017079378	1.092896175
GOTERM_MF_DIRECT	GO:0051015~actin filament binding	9	3.49E-04	"ACTR3, MYO1D, LIMA1, MYO1B, ARPC2, PLS3, CTNNA2, ANTXR1, CORO1C"	222	132	16881	5.18458231	0.130464761	0.017471507	0.017079378	2.459016393
GOTERM_MF_DIRECT	GO:0005200~structural constituent of cytoskeleton	8	6.09E-04	"ACTR3, ARPC2, MSN, VIM, CTNNA2, SPTBN1, ACTB, ACTG1"	222	110	16881	5.53022113	0.216878682	0.027154795	0.026545335	2.18579235
GOTERM_MF_DIRECT	GO:0023026~MHC class II protein complex binding	4	0.001092882	"YWHAE, HSPA8, CD74, HLA-DRA"	222	16	16881	19.01013514	0.354987415	0.04382458	0.042840986	1.092896175
