Category,Term,Count,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,%
KEGG_PATHWAY,hsa04141:Protein processing in endoplasmic reticulum,12,3.08E-04,"EDEM3, HSPA8, LMAN1, TRAM1, EIF2AK1, SEL1L, DNAJA2, DNAJC10, UBQLN1, SSR1, P4HB, HSP90B1",130,169,6879,3.757305416,0.058839615,0.060632381,0.059401266,3.278688525
KEGG_PATHWAY,hsa05169:Epstein-Barr virus infection,9,0.001980293,"USP7, MDM2, PLCG2, HLA-DRA, TNFAIP3, HLA-A, VIM, HLA-G, JAK1",130,122,6879,3.903593947,0.323284582,0.191690584,0.18779839,2.459016393
KEGG_PATHWAY,hsa04611:Platelet activation,9,0.002949016,"COL1A1, PPP1CC, COL3A1, COL1A2, ROCK1, GNAQ, PLCG2, ACTB, ACTG1",130,130,6879,3.663372781,0.441116622,0.191690584,0.18779839,2.459016393
KEGG_PATHWAY,hsa03010:Ribosome,9,0.003892195,"RPL7A, RPL10, RPL18A, RPLP1, RPS6, RPS3A, RPL8, RPL39, RPS23",130,136,6879,3.501753394,0.536179853,0.191690584,0.18779839,2.459016393
KEGG_PATHWAY,hsa04670:Leukocyte transendothelial migration,8,0.005678177,"ROCK1, PECAM1, PLCG2, MSN, CTNNA2, ACTB, BCAR1, ACTG1",130,115,6879,3.681070234,0.674303289,0.196341272,0.192354647,2.18579235
KEGG_PATHWAY,hsa04974:Protein digestion and absorption,7,0.005979937,"COL1A1, CPA2, COL3A1, CPA1, COL1A2, SLC38A2, PRSS2",130,88,6879,4.209178322,0.693207625,0.196341272,0.192354647,1.912568306
KEGG_PATHWAY,hsa05168:Herpes simplex infection,10,0.007249549,"CD74, PPP1CC, USP7, EIF2AK1, CSNK2B, HLA-DRA, HLA-A, SRSF5, HLA-G, JAK1",130,183,6879,2.891551072,0.761494549,0.204023028,0.199880428,2.732240437
KEGG_PATHWAY,hsa04612:Antigen processing and presentation,6,0.013714825,"HSPA8, CD74, HLA-DRA, HLA-A, B2M, HLA-G",130,76,6879,4.177530364,0.934159438,0.320051229,0.313552727,1.639344262
KEGG_PATHWAY,hsa04510:Focal adhesion,10,0.015032977,"COL1A1, PDGFRA, PPP1CC, COL3A1, COL1A2, ROCK1, LAMB1, ACTB, BCAR1, ACTG1",130,206,6879,2.568707991,0.949409029,0.320051229,0.313552727,2.732240437
KEGG_PATHWAY,hsa05164:Influenza A,9,0.016246255,"IVNS1ABP, HSPA8, EIF2AK1, HLA-DRA, NXT2, PRSS2, ACTB, JAK1, ACTG1",130,174,6879,2.737002653,0.960315536,0.320051229,0.313552727,2.459016393
