Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	90	38.2979	7.45E-25	"YWHAE, RPL4, RPL30, RPLP1, REG1B, TNFAIP3, ANTXR1, N4BP2L2, ACTB, JCHAIN, ACTG1, RPL7A, HINT1, EFR3A, SLK, PPP2R1A, RACK1, DIP2B, TNPO1, GOLGA7, B2M, GLUL, ACTR3, PARP4, SPINK1, ANXA1, MMP7, ANXA4, ANXA5, HLA-B, BGN, ADAM10, HLA-A, SND1, SUB1, CSNK2B, CANX, PECAM1, CHMP3, PABPC1, SLC25A5, GAPDH, RAB1A, DDX5, RALB, TMED10, CAB39, SEMA3C, C1S, PLD3, HSP90B1, NME1-NME2, LMAN1, EPCAM, PRDX1, UBC, PLCG2, MAL2, A2M, SPTBN1, CD74, HSPA8, GFPT1, CRIM1, MSN, LAMB1, GNG12, SOD2, RAB10, MYO1D, RPS25, GATM, MYO1B, EIF2S3, COL1A2, ARPC2, GNAQ, DNAJA2, HNRNPA2B1, RAB18, HNRNPD, HLA-DRA, SERINC1, VIM, P4HB, ANXA2P2, CALM2, PAM, FBN1, ITM2C"	191	2811	18224	3.054864863	2.26E-22	2.26E-22	2.08E-22
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	25	10.6383	6.89E-15	"RPL30, DDX5, PRKDC, ACTG1, HSP90B1, PRDX1, PRSS2, HSPA8, MMP7, BGN, LAMB1, COL1A1, RPS25, COL3A1, MMP14, VCAN, SFRP2, COL1A2, CANX, VIM, P4HB, SLC25A5, GAPDH, FBN1, SLC25A6"	191	296	18224	8.058582142	2.09E-12	1.04E-12	9.61E-13
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	27	11.4894	5.36E-14	"YWHAE, RPL4, RPL30, RPLP1, RPL8, ACTB, ACTG1, HSP90B1, CORO1C, LIMA1, RPL7A, PPP1CC, B2M, JAK1, RPL19, ACTR3, HSPA8, ANXA1, ANXA5, ADAM10, MSN, RAB10, MMP14, ARPC2, VIM, PABPC1, P4HB"	191	391	18224	6.588663783	1.62E-11	5.41E-12	4.98E-12
GOTERM_CC_DIRECT	GO:0016020~membrane	60	25.5319	2.68E-12	"YWHAE, RPL4, RPL30, ATP2A2, RPL8, ACTB, ACTG1, RPL7A, LAPTM4A, MED13, RPL18A, PPP2R1A, KIF5B, DIP2B, B2M, JAK1, ACTR3, PDGFRA, DDX18, PARP4, CERS6, ELOVL5, RPS6, ANXA5, HLA-B, EMP1, ADAM10, HLA-A, DDX50, HLA-G, SND1, VCAN, HNRNPH1, CANX, EXOC4, YME1L1, PABPC1, SLC25A5, GAPDH, DDX5, RPL10, PRKDC, HSP90B1, LMAN1, UGCG, RPL19, EDEM3, CD74, HSPA8, CD163, USP9X, RAD50, CNOT1, GNAQ, DNAJC10, DNAJA2, HNRNPA2B1, PAM, RPS24, RPS23"	191	2200	18224	2.602189434	8.12E-10	2.03E-10	1.87E-10
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	10	4.2553	3.49E-08	"RPL4, RPL7A, RPL30, RPLP0P6, RPL10, RPL18A, RPLP1, RPL8, RPL39, RPL19"	191	68	18224	14.03141361	1.06E-05	2.12E-06	1.95E-06
GOTERM_CC_DIRECT	GO:0012507~ER to Golgi transport vesicle membrane	9	3.829787234	6.12E-08	"CD74, LMAN1, HLA-H, TMED10, HLA-B, HLA-DRA, HLA-A, B2M, HLA-G"	191	52	18224	16.51389448	1.86E-05	3.09E-06	2.85E-06
GOTERM_CC_DIRECT	GO:0042470~melanosome	11	4.680851064	1.01E-07	"YWHAE, HSPA8, RAB1A, MMP14, TMED10, PRDX1, CANX, ANXA2P2, P4HB, SND1, HSP90B1"	191	101	18224	10.39158157	3.06E-05	4.38E-06	4.03E-06
GOTERM_CC_DIRECT	GO:0005840~ribosome	13	5.531914894	1.75E-07	"RPL4, RPL30, RPL10, RPLP1, RPS6, RPL8, RPL7A, RPS25, RPL18A, CANX, RPS24, RPS23, RPL19"	191	166	18224	7.472150382	5.31E-05	6.63E-06	6.11E-06
GOTERM_CC_DIRECT	GO:0071556~integral component of lumenal side of endoplasmic reticulum membrane	7	2.978723404	4.62E-07	"CD74, HLA-H, CANX, HLA-B, HLA-DRA, HLA-A, HLA-G"	191	29	18224	23.030872	1.40E-04	1.48E-05	1.36E-05
GOTERM_CC_DIRECT	GO:0005829~cytosol	64	27.23404255	4.87E-07	"YWHAE, RPL4, RPL30, RPLP1, TNFAIP3, RPL8, ACTB, ACTG1, LGALS4, RPL7A, PPP1CC, EFR3A, RPL18A, PPP2R1A, RACK1, TNPO1, RPL39, GLUL, JAK1, ACTR3, USP7, WSB1, RPS6, CSNK2B, EXOC4, CHMP3, PABPC1, GAPDH, RAB1A, CAB39, ROCK1, RPL10, PRKDC, UBR2, HSD17B11, HSP90B1, NME1-NME2, MAT2A, PRDX1, UBC, PLCG2, A2M, SPTBN1, RPL19, HSPA8, USP9X, NRDC, GFPT1, MYO1D, RPS25, GOLPH3, EIF2S3, ARPC2, CNOT1, DNAJA2, RAB18, MDM2, HNRNPD, PDCD4, TPP2, VIM, CALM2, RPS24, RPS23"	191	3315	18224	1.842072761	1.48E-04	1.48E-05	1.36E-05
GOTERM_CC_DIRECT	GO:0030529~intracellular ribonucleoprotein complex	11	4.680851064	1.63E-06	"RPL4, HSPA8, DDX5, SSB, PARP4, RPS6, HNRNPA2B1, HNRNPD, PABPC1, GAPDH, ACTB"	191	136	18224	7.717277487	4.95E-04	4.50E-05	4.14E-05
GOTERM_CC_DIRECT	GO:0042612~MHC class I protein complex	5	2.127659574	3.57E-06	"HLA-H, HLA-B, HLA-A, B2M, HLA-G"	191	11	18224	43.36982389	0.001080434	9.01E-05	8.29E-05
GOTERM_CC_DIRECT	GO:0043209~myelin sheath	11	4.680851064	4.45E-06	"MYO1D, NME1-NME2, HSPA8, PRDX1, CANX, MSN, SLC25A5, SOD2, GLUL, ACTB, ACTG1"	191	152	18224	6.904932488	0.001347661	1.04E-04	9.55E-05
GOTERM_CC_DIRECT	GO:0005913~cell-cell adherens junction	15	6.382978723	7.76E-06	"YWHAE, RAB1A, HSPA8, ANXA1, SND1, RAB10, LIMA1, RPL7A, MYO1B, EIF2S3, SLK, KIF5B, PRDX1, RACK1, SPTBN1"	191	323	18224	4.43097272	0.002348169	1.68E-04	1.55E-04
GOTERM_CC_DIRECT	GO:0005615~extracellular space	31	13.19148936	6.23E-05	"BMPR2, SPARC, SEMA3C, ACTB, ACTG1, JCHAIN, LGALS4, PRDX1, UBC, LRIG3, PRSS2, RPL39, B2M, CPA2, HSPA8, CPA1, MMP7, SPINK1, ANXA1, MSN, LAMB1, GREM1, COL1A1, COL3A1, VCAN, SFRP2, COL1A2, CNOT1, PECAM1, PAM, FBN1"	191	1347	18224	2.195858938	0.018688645	0.00125766	0.001158043
GOTERM_CC_DIRECT	GO:0015935~small ribosomal subunit	5	2.127659574	1.67E-04	"RPS25, RPS6, RACK1, RPS24, RPS23"	191	27	18224	17.66918751	0.049202891	0.003153149	0.002903395
GOTERM_CC_DIRECT	GO:0009986~cell surface	17	7.234042553	1.84E-04	"CD74, HLA-H, ANXA1, BMPR2, SPARC, MMP7, ANXA4, NRDC, HLA-B, BGN, ADAM10, HLA-A, ANTXR1, GREM1, EPCAM, HLA-DRA, PAM"	191	542	18224	2.992677885	0.05433666	0.003286088	0.003025804
GOTERM_CC_DIRECT	GO:0030670~phagocytic vesicle membrane	6	2.553191489	3.71E-04	"RAB10, HLA-H, HLA-B, HLA-A, B2M, HLA-G"	191	59	18224	9.703079244	0.106273034	0.006240785	0.005746465
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	77	32.76595745	4.82E-04	"RPL4, RPL30, BMPR2, SPARC, BTG1, RPLP1, TNFAIP3, RPL8, CHD1, ACTB, RPL7A, PPP1CC, HINT1, SLK, TMSB4X, KIF5B, RACK1, PLS3, DIP2B, TNPO1, B2M, GLUL, TMSB10, JAK1, PDGFRA, PARP4, ANXA1, TSC22D1, DUSP1, ANXA4, RPS6, ANXA5, BGN, ADAM10, PPP4R3B, SND1, MMP14, HNRNPH1, CSNK2B, EXOC4, SRSF5, PABPC1, GAPDH, GOLGA8A, CDC42SE1, SLAIN2, UBR2, HSD17B11, CORO1C, NME1-NME2, LIMA1, LMAN1, PRDX1, UBC, UBQLN1, SPTBN1, RPL19, IVNS1ABP, USP9X, EIF2AK1, MSN, QKI, EIF1, RPS25, MYO1B, EIF2S3, ARPC2, CNOT1, GNAQ, HNRNPA2B1, MDM2, PDCD4, TPP2, VIM, CALM2, RPS24, RPS23"	191	5222	18224	1.406903134	0.135800503	0.007679815	0.007071513
GOTERM_CC_DIRECT	GO:0005788~endoplasmic reticulum lumen	9	3.829787234	9.36E-04	"EDEM3, COL1A1, COL3A1, COL1A2, CANX, DNAJC10, P4HB, B2M, HSP90B1"	191	192	18224	4.472513089	0.247065629	0.014182218	0.013058874
GOTERM_CC_DIRECT	GO:0097433~dense body	3	1.276595745	0.002193859	"SND1, ACTB, ACTG1"	191	7	18224	40.89154824	0.485967857	0.030649155	0.0282215
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	16	6.808510638	0.002225351	"ANXA4, RPS6, ATP2A2, MSN, LAMB1, HSP90B1, NME1-NME2, MYO1B, SLK, KIF5B, UBQLN1, RACK1, MAL2, GAPDH, PAM, ITM2C"	191	621	18224	2.458321741	0.490860275	0.030649155	0.0282215
