Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	40	17.0213	7.38E-11	"YWHAE, RPL4, RPL30, DDX5, RPL10, PRKDC, RPL8, RPL7A, PPP1CC, RPL18A, TMSB4X, PRDX1, UBC, RACK1, TNPO1, SPTBN1, RPL19, HSPA8, DDX18, SSB, RPS6, HLA-A, DDX50, QKI, SND1, EIF1, RPS25, CNOT1, HNRNPH1, SUB1, HNRNPA2B1, CANX, HNRNPD, LUC7L3, SRSF5, PABPC1, P4HB, SLC25A5, RPS24, RPS23"	184	1129	16881	3.250471753	2.74E-08	2.74E-08	2.64E-08
GOTERM_MF_DIRECT	GO:0005515~protein binding	138	58.7234	1.59E-10	"RPL4, RPL30, SPARC, ANTXR1, ACTB, ACTG1, PPP1CC, SLK, RPL18A, PPP2R1A, KIF5B, PRSS2, B2M, GOLGA7, GLUL, TMSB10, PDGFRA, DDX18, USP7, WSB1, SPINK1, COG6, RPS6, ADAM10, HLA-A, SCAMP1, SND1, PYURF, SUB1, CSNK2B, SRSF5, DDX5, TMED10, PRKDC, SEL1L, SLAIN2, UBR2, PLD3, HSP90B1, CORO1C, PRDX1, UBC, PLCG2, SSR1, A2M, SLC38A2, SPTBN1, CD164, HSPA8, CD163, NRDC, MSN, GNG12, QKI, COL1A1, RPS25, EIF2S3, COL1A2, ARPC2, CNOT1, GNAQ, DNAJC10, MDM2, HNRNPD, TPP2, SERINC1, CALM2, PAM, RPS23, FBN1, ITM2C, YWHAE, TRAM1, BMPR2, BTG1, RPLP1, TNFAIP3, ATP2A2, CHD1, N4BP2L2, RPL7A, TMSB4X, RACK1, TNPO1, JAK1, ACTR3, ANXA1, PARP4, TSC22D1, DUSP1, ELOVL5, ANXA4, ANXA5, EMP1, GREM1, VCAN, MMP14, HNRNPH1, CTDSP2, CANX, PECAM1, EXOC4, LUC7L3, CHMP3, PABPC1, SLC25A5, GAPDH, SLC25A6, RAB1A, RALB, CAB39, C1S, ROCK1, RPL10, USP12, LIMA1, LMAN1, MAT2A, EPCAM, UBQLN1, MAL2, RPL19, CD74, SSB, USP9X, USP22, PNRC1, PNRC2, RAB10, COL3A1, GOLPH3, RAD50, DNAJA2, HNRNPA2B1, PDCD4, RAB18, VIM, P4HB"	184	8785	16881	1.441178145	5.92E-08	2.96E-08	2.85E-08
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	15	6.3830	1.41E-07	"RPL4, RPL30, RPLP0P6, RPL10, RPLP1, RPS6, RPL8, RPL7A, RPL18A, SLC25A5, RPL39, RPS24, SLC25A6, RPS23, RPL19"	184	222	16881	6.198957109	5.24E-05	1.75E-05	1.68E-05
GOTERM_MF_DIRECT	GO:0098641~cadherin binding involved in cell-cell adhesion	16	6.8085	6.44E-07	"YWHAE, RAB1A, HSPA8, ANXA1, SND1, RAB10, LIMA1, RPL7A, MYO1B, EIF2S3, SLK, EPCAM, KIF5B, PRDX1, RACK1, SPTBN1"	184	290	16881	5.061769115	2.40E-04	5.99E-05	5.77E-05
GOTERM_MF_DIRECT	GO:0003723~RNA binding	19	8.0851	2.89E-05	"RPL4, DDX18, RPL30, SSB, RPL8, DDX50, QKI, HSP90B1, RPL7A, RPS25, RPL18A, HNRNPH1, HNRNPA2B1, HNRNPD, PDCD4, PABPC1, SRSF5, RPL39, RPL19"	184	547	16881	3.186739925	0.010683383	0.002148141	0.002067297
GOTERM_MF_DIRECT	GO:0019899~enzyme binding	14	5.957446809	7.18E-05	"YWHAE, HSPA8, DDX5, PARP4, BTG1, PRKDC, USP22, ATP2A2, N4BP2L2, GOLPH3, MDM2, RACK1, P4HB, A2M"	184	333	16881	3.857128868	0.026353187	0.004450949	0.004283441
GOTERM_MF_DIRECT	GO:0005201~extracellular matrix structural constituent	7	2.978723404	8.62E-05	"COL1A1, COL3A1, VCAN, COL1A2, BGN, LAMB1, FBN1"	184	67	16881	9.585253082	0.031568933	0.00458237	0.004409915
GOTERM_MF_DIRECT	GO:0048407~platelet-derived growth factor binding	4	1.70212766	1.94E-04	"COL1A1, PDGFRA, COL3A1, COL1A2"	184	11	16881	33.36166008	0.069618417	0.008017053	0.007715336
GOTERM_MF_DIRECT	GO:0004859~phospholipase inhibitor activity	4	1.70212766	1.94E-04	"ANXA1, ANXA4, ANXA5, ANXA2P2"	184	11	16881	33.36166008	0.069618417	0.008017053	0.007715336
GOTERM_MF_DIRECT	GO:0051015~actin filament binding	8	3.404255319	5.92E-04	"ACTR3, MYO1D, LIMA1, MYO1B, ARPC2, PLS3, ANTXR1, CORO1C"	184	132	16881	5.56027668	0.197722434	0.021390298	0.020585287
