Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa03010:Ribosome	13	5.531914893617021	2.379819932820154E-6	RPL4, RPL30, RPL10, RPLP1, RPS6, RPL8, RPL7A, RPS25, RPL18A, RPL39, RPS24, RPS23, RPL19	116	136	6879	5.668547160243408	4.2351874269919154E-4	4.236079480419874E-4	4.093290284450665E-4
KEGG_PATHWAY	hsa04141:Protein processing in endoplasmic reticulum	13	5.531914893617021	2.2450030583238535E-5	EDEM3, HSPA8, TRAM1, EIF2AK1, SEL1L, HSP90B1, LMAN1, CANX, DNAJA2, DNAJC10, UBQLN1, SSR1, P4HB	116	169	6879	4.561671087533157	0.003988176317495595	0.0019980527219082295	0.001930702630158514
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	10	4.25531914893617	1.8721454537705553E-4	USP7, MDM2, HLA-B, PLCG2, HLA-DRA, TNFAIP3, HLA-A, VIM, HLA-G, JAK1	116	122	6879	4.86079706048615	0.03277807252602427	0.011108063025705295	0.010733633934951184
KEGG_PATHWAY	hsa04612:Antigen processing and presentation	8	3.404255319148936	2.5642800624570865E-4	HSPA8, CD74, CANX, HLA-B, HLA-DRA, HLA-A, B2M, HLA-G	116	76	6879	6.242286751361161	0.044623751244743826	0.011411046277934035	0.011026404268565472
KEGG_PATHWAY	hsa05168:Herpes simplex infection	11	4.680851063829787	9.217914833346193E-4	CD74, PPP1CC, USP7, EIF2AK1, CSNK2B, HLA-B, HLA-DRA, HLA-A, SRSF5, HLA-G, JAK1	116	183	6879	3.5645845110231766	0.15138914428577943	0.03281577680671245	0.0317096270267109
KEGG_PATHWAY	hsa04611:Platelet activation	9	3.829787234042553	0.001425888064111515	COL1A1, PPP1CC, COL3A1, COL1A2, ROCK1, GNAQ, PLCG2, ACTB, ACTG1	116	130	6879	4.105503978779841	0.22429981931918874	0.04230134590197495	0.040875457837863435
KEGG_PATHWAY	hsa05416:Viral myocarditis	6	2.553191489361702	0.002507075709631864	HLA-B, HLA-DRA, HLA-A, HLA-G, ACTB, ACTG1	116	57	6879	6.242286751361161	0.3603408458911562	0.06375135375921025	0.061602431722382944
KEGG_PATHWAY	hsa04974:Protein digestion and absorption	7	2.9787234042553195	0.003408971332236441	COL1A1, CPA2, COL3A1, CPA1, COL1A2, SLC38A2, PRSS2	116	88	6879	4.717182601880878	0.4554707016894627	0.07584961214226081	0.07329288364308348
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	10	4.25531914893617	0.006105864654855473	PPP1CC, DDX5, ROCK1, RPS6, MDM2, PDCD4, PLCG2, MSN, ACTB, ACTG1	116	200	6879	2.965086206896552	0.6638425198989073	0.12076043428491935	0.11668985784834904
KEGG_PATHWAY	hsa05332:Graft-versus-host disease	4	1.702127659574468	0.0172479737759721	HLA-B, HLA-DRA, HLA-A, HLA-G	116	33	6879	7.1880877742946705	0.9548120407020696	0.26689543801960347	0.25789896258074047
KEGG_PATHWAY	hsa04144:Endocytosis	10	4.25531914893617	0.019159980780138055	RAB10, HSPA8, PDGFRA, ARPC2, KIF5B, MDM2, HLA-B, CHMP3, HLA-A, HLA-G	116	241	6879	2.4606524538560595	0.9680496561598639	0.26689543801960347	0.25789896258074047
