Id,Label,Degree,Betweenness,Expression
7316,UBC,77,4166.38,6.89073
10399,RACK1,15,68.27,6.715876126
6156,RPL30,14,56.04,7.047757568
6124,RPL4,14,42.83,7.780651171
6228,RPS23,13,46.16,5.469388018
6194,RPS6,13,46.16,5.439068829
6142,RPL18A,13,39.19,6.584361126
6143,RPL19,13,39.19,5.510775405
6132,RPL8,13,39.19,6.147037568
6229,RPS24,12,36.28,4.850076126
6130,RPL7A,12,1.71,5.878632432
6170,RPL39,11,3.37,5.512506216
6134,RPL10,11,0.4,7.229270721
6176,RPLP1,11,0.39,4.951547027
60,ACTB,8,100,7.059935405
26986,PABPC1,6,15.81,5.540812072
3184,HNRNPD,6,3.33,5.407112162
6230,RPS25,6,0.09,7.540474865
3312,HSPA8,5,2.22,7.261054685
5034,P4HB,4,360,6.7336853605
7184,HSP90B1,4,5,6.67241036
3181,HNRNPA2B1,4,0,5.301856486
3187,HNRNPH1,4,0,4.724785135
6430,SRSF5,4,0,4.968790991
1277,COL1A1,3,184,7.23348973
567,B2M,3,94,6.001736126
60412,EXOC4,3,93,4.141881982
3716,JAK1,3,93,4.486861622
10096,ACTR3,3,0,4.988183604
10294,DNAJA2,3,0,3.781795676
10109,ARPC2,3,0,5.363730991
3106,HLA-B,2,180,7.404155315
6678,SPARC,2,93,6.094888378
5591,PRKDC,2,93,4.387536396
4478,MSN,2,93,5.391048739
821,CANX,2,90,5.710106396
3105,HLA-A,2,2,6.082352342
2597,GAPDH,2,0,6.69823027
1968,EIF2S3,2,0,5.259506486
10890,RAB10,2,0,3.868933874
8239,USP9X,2,0,4.628373784
1278,COL1A2,2,0,7.396443604
5501,PPP1CC,2,0,5.831128288
71,ACTG1,2,0,7.551122703
23603,CORO1C,2,0,4.292125586
29979,UBQLN1,2,0,4.104838739
10209,EIF1,2,0,5.423101982
1843,DUSP1,1,0,4.864665766
7128,TNFAIP3,1,0,3.912485225
5156,PDGFRA,1,0,4.431526577
23392,KIAA0368,1,0,4.515126577
102,ADAM10,1,0,5.326069009
3998,LMAN1,1,0,4.833944955
23326,USP22,1,0,4.105584865
7531,YWHAE,1,0,4.972386216
7431,VIM,1,0,4.695097658
5052,PRDX1,1,0,4.832496937
301,ANXA1,1,0,5.825716667
64083,GOLPH3,1,0,4.624495315
805,CALM2,1,0,5.188581622
8886,DDX18,1,0,3.948505856
27250,PDCD4,1,0,4.461696306
5899,RALB,1,0,3.829312162
6741,SSB,1,0,4.960046757
5518,PPP2R1A,1,0,4.02727036
4144,MAT2A,1,0,5.70221045
23019,CNOT1,1,0,4.283440811
3842,TNPO1,1,0,4.165991982
2752,GLUL,1,0,5.107121081
7874,USP7,1,0,4.974866937
10923,SUB1,1,0,4.534665225
57609,DIP2B,1,0,3.812901622
10944,C11orf58,1,0,5.508637748
81618,ITM2C,1,0,4.03789982
54407,SLC38A2,1,0,5.306928378
308,ANXA5,1,0,5.301536216
9741,LAPTM4A,1,0,6.73889009
27044,SND1,1,0,4.506302613
6711,SPTBN1,1,0,5.381781622
292,SLC25A5,1,0,4.944973694
6648,SOD2,1,0,5.33517
293,SLC25A6,1,0,5.625766036
4898,NRDC,1,0,4.316895045
7174,TPP2,1,0,4.181585225
5861,RAB1A,1,0,4.887806667
6093,ROCK1,1,0,3.682654234
654364,NME1-NME2,1,0,5.109088919
3135,HLA-G,1,0,4.286864505
1281,COL3A1,1,0,7.32135036
23646,PLD3,1,0,4.003804144
51125,GOLGA7,1,0,4.23019955
2673,GFPT1,1,0,4.762335315
23304,UBR2,1,0,4.177558559
7114,TMSB4X,1,0,7.299139009
488,ATP2A2,1,0,5.421006577
